"Label (Grouping)","HOUSEHOLD INCOME","Total population"
"San Francisco County, California","361,912","808,437"
"        Estimate","361,912","808,437"
"        Margin of Error","±4,951","*****"
"    Mean income (dollars)","",""
"        Estimate","199,900","89,736"
"        Margin of Error","±6,479","±2,835"
"Denver County, Colorado","",""
"        Estimate","334,942","713,252"
"        Margin of Error","±3,779","*****"
"    Percent Distribution","",""
"        Estimate","334,942","713,252"
"        Margin of Error","±3,779","*****"
"    Mean income (dollars)","",""
"        Estimate","125,904","59,271"
"        Margin of Error","±3,223","±1,522"
"Mecklenburg County, North Carolina","",""
"        Estimate","472,427","1,145,392"
"        Margin of Error","±3,517","*****"
"    Percent Distribution","",""
"        Estimate","472,427","1,145,392"
"        Margin of Error","±3,517","*****"
"    Mean income (dollars)","",""
"        Estimate","120,629","50,588"
"        Margin of Error","±2,879","±1,120"
"Travis County, Texas","",""
"        Estimate","586,136","1,326,436"
"        Margin of Error","±3,681","*****"
"    Percent Distribution","",""
"        Estimate","586,136","1,326,436"
"        Margin of Error","±3,681","*****"
"    Mean income (dollars)","",""
"        Estimate","136,162","59,648"
"        Margin of Error","±3,115","±1,283"
