"Label (Grouping)","San Francisco County, California!!Total!!Estimate","San Francisco County, California!!Total!!Margin of Error","San Francisco County, California!!Male!!Estimate","San Francisco County, California!!Male!!Margin of Error","San Francisco County, California!!Female!!Estimate","San Francisco County, California!!Female!!Margin of Error","Denver County, Colorado!!Total!!Estimate","Denver County, Colorado!!Total!!Margin of Error","Denver County, Colorado!!Male!!Estimate","Denver County, Colorado!!Male!!Margin of Error","Denver County, Colorado!!Female!!Estimate","Denver County, Colorado!!Female!!Margin of Error","Mecklenburg County, North Carolina!!Total!!Estimate","Mecklenburg County, North Carolina!!Total!!Margin of Error","Mecklenburg County, North Carolina!!Male!!Estimate","Mecklenburg County, North Carolina!!Male!!Margin of Error","Mecklenburg County, North Carolina!!Female!!Estimate","Mecklenburg County, North Carolina!!Female!!Margin of Error","Travis County, Texas!!Total!!Estimate","Travis County, Texas!!Total!!Margin of Error","Travis County, Texas!!Male!!Estimate","Travis County, Texas!!Male!!Margin of Error","Travis County, Texas!!Female!!Estimate","Travis County, Texas!!Female!!Margin of Error"
"Workers 16 years and over","509,743","±3,382","273,931","±2,339","235,812","±2,189","400,938","±3,148","214,379","±2,133","186,559","±2,063","571,223","±4,147","296,226","±2,904","274,997","±2,644","692,866","±3,935","380,383","±2,865","312,483","±2,879"
"    MEANS OF TRANSPORTATION TO WORK","","","","","","","","","","","","","","","","","","","","","","","",""
"        Car, truck, or van","37.2%","±0.6","38.3%","±0.8","36.0%","±0.9","73.3%","±0.7","72.9%","±0.8","73.8%","±1.0","82.2%","±0.5","81.6%","±0.7","82.8%","±0.7","79.2%","±0.5","78.6%","±0.6","80.0%","±0.8"
"            Drove alone","30.5%","±0.6","32.1%","±0.8","28.5%","±0.8","66.1%","±0.8","65.8%","±1.0","66.4%","±1.1","73.3%","±0.7","72.3%","±0.8","74.3%","±0.9","70.4%","±0.6","69.8%","±0.8","71.2%","±0.9"
"            Carpooled","6.8%","±0.3","6.2%","±0.4","7.4%","±0.4","7.3%","±0.4","7.2%","±0.5","7.4%","±0.5","8.9%","±0.5","9.3%","±0.5","8.5%","±0.7","8.8%","±0.4","8.8%","±0.5","8.8%","±0.6"
"                In 2-person carpool","4.7%","±0.2","4.3%","±0.3","5.2%","±0.3","5.3%","±0.3","5.1%","±0.4","5.5%","±0.5","6.4%","±0.4","6.3%","±0.4","6.5%","±0.6","6.6%","±0.3","6.4%","±0.4","6.9%","±0.4"
"                In 3-person carpool","1.3%","±0.2","1.1%","±0.2","1.5%","±0.2","1.1%","±0.2","1.2%","±0.3","1.1%","±0.2","1.4%","±0.2","1.6%","±0.2","1.3%","±0.2","1.3%","±0.3","1.2%","±0.2","1.4%","±0.4"
"                In 4-or-more person carpool","0.8%","±0.1","0.8%","±0.1","0.8%","±0.2","0.8%","±0.1","0.8%","±0.2","0.8%","±0.1","1.1%","±0.2","1.4%","±0.2","0.8%","±0.2","0.9%","±0.1","1.1%","±0.2","0.5%","±0.1"
"            Workers per car, truck, or van","1.11","±0.01","1.10","±0.01","1.13","±0.01","1.06","±0.01","1.06","±0.01","1.06","±0.01","1.06","±0.01","1.07","±0.01","1.06","±0.01","1.07","±0.01","1.07","±0.01","1.06","±0.01"
"        Public transportation (excluding taxicab)","31.6%","±0.6","29.7%","±0.8","33.8%","±0.8","6.2%","±0.4","6.1%","±0.5","6.2%","±0.4","2.6%","±0.2","2.7%","±0.3","2.6%","±0.2","2.4%","±0.2","2.6%","±0.2","2.2%","±0.3"
